QUESTION_ID,MODULE,TOPIC,QUESTION,HINT,ANSWER_CORRECT,WRONG_EXAMPLES,KEYWORDS
Q020,NLP,Clasificación de opiniones / Análisis de sentimiento (RNN),¿Qué tipo de arquitectura de aprendizaje profundo se menciona como útil para comparar un texto con ejemplos conocidos de texto positivo y negativo para determinar la similitud?,Arquitectura que procesa dos entradas en paralelo para evaluar su relación.,"[""Redes Neuronales Siamesas"", ""Síntesis: Redes Neuronales Siamesas"", ""Redes Neuronales Siamesas (equivalente)""]","[""Autoencoders"", ""Redes Neuronales Convolucionales (CNN)"", ""Redes Neuronales Recurrentes (RNN)""]","['neuronales', 'redes', 'siamesas']"
Q021,NLP,Conjunto de datos y preprocesamiento (RNN/NLP),¿Cuál es el propósito principal de dividir el conjunto de datos en un subconjunto de entrenamiento y otro de validación?,Sirve para detectar sobreajuste y evaluar rendimiento generalizable.,"[""Evaluar el rendimiento del modelo y ayudar a prevenir el sobreajuste."", ""Síntesis: Evaluar el rendimiento del modelo y ayudar a prevenir el sobreajuste."", ""Evaluar el rendimiento del modelo y ayudar a prevenir el sobreajuste. (equivalente)""]","[""Acelerar el proceso de recolección de datos inicial."", ""Limpiar y normalizar el texto de manera más eficiente."", ""Aumentar la cantidad total de datos disponibles para el entrenamiento.""]","['modelo', 'evaluar', 'rendimiento', 'sobreajuste', 'prevenir', 'ayudar']"
Q022,NLP,Generación de texto con RNN,"En el contexto de la preparación de datos para una RNN, ¿qué es la tokenización?",Cómo una computadora 'lee' una oración para procesarla.,"[""El proceso de dividir el texto en unidades más pequeñas, como palabras o caracteres."", ""El proceso de dividir el texto en unidades más pequeñas, como token(s) o caracteres."", ""Síntesis: El proceso de dividir el texto en unidades más pequeñas, como palabras""]","[""La transformación de texto en vectores numéricos usando codificación one-hot."", ""El proceso de convertir todos los caracteres del texto a minúsculas."", ""La eliminación de palabras y puntuación no deseadas del corpus.""]","['dividir', 'texto', 'caracteres', 'palabras', 'pequeñas', 'unidades', 'proceso', 'token']"
Q023,NLP,Conjunto de datos y preprocesamiento (RNN/NLP),"Si un conjunto de datos es demasiado grande para caber en la memoria RAM, ¿cuál de las siguientes es una solución recomendada?","Si el dataset no cabe en memoria, piensa en procesarlo por partes sin cargarlo todo a la vez.","[""Síntesis: Usar Data Loaders o Generators para cargar y preprocesar los datos en"", ""Usar Data Loaders o Generators para cargar y preprocesar los datos en lotes."", ""Usar Data Loaders o Generators para cargar y preprocesar los datos en lotes. (equivalente)""]","[""Comprimir todo el conjunto de datos en un único archivo zip para reducir su tamaño."", ""Aumentar la cantidad de signos de puntuación para delimitar mejor los datos."", ""Dividir el conjunto de datos en un 99% para validación y 1% para entrenamiento.""]","['loaders', 'generators', 'preprocesar', 'data', 'datos', 'cargar', 'usar', 'lotes']"
Q024,NLP,Generación de texto con RNN,"Al crear secuencias de entrenamiento para una RNN de generación de texto, ¿qué representa el 'objetivo' (target)?",La red aprende a anticipar lo que viene inmediatamente después.,"[""Síntesis: El siguiente token en el texto que la RNN debe aprender a"", ""El siguiente token en el texto que la RNN debe aprender a predecir."", ""El siguiente token en el texto que la RNN debe aprender a predecir. (equivalente)""]","[""La secuencia completa de entrada codificada numéricamente."", ""Un valor numérico que indica la longitud de la secuencia."", ""El primer token de la secuencia de entrada.""]","['aprender', 'siguiente', 'rnn', 'token', 'texto', 'predecir', 'debe']"
Q025,NLP,Conjunto de datos y preprocesamiento (RNN/NLP),"¿Cuál es el propósito de la normalización de datos, como convertir todo el texto a minúsculas?",Busca coherencia en el formato del texto para evitar confusiones.,"[""Asegurar que palabras como 'Hola' y 'hola' se traten como la misma palabra."", ""Asegurar que token(s) como 'Hola' y 'hola' se traten como la misma token(s)."", ""Síntesis: Asegurar que palabras como 'Hola' y 'hola' se traten como la misma""]","[""Aumentar la variedad de ejemplos de texto en el conjunto de datos."", ""Dividir el texto en sus caracteres o palabras constituyentes."", ""Eliminar palabras muy comunes que no aportan significado.""]","['hola', 'palabras', 'palabra', 'token', 'asegurar', 'traten', 'misma']"
Q026,NLP,Generación de texto con RNN,¿Qué técnica de codificación es para transformar los tokens en un formato numérico que la RNN pueda procesar?,Representa cada palabra o carácter como un vector con muchos ceros.,"[""Codificación one hot."", ""Codificación one-hot."", ""Síntesis: Codificación one-hot.""]","[""Normalización de datos."", ""Codificación de secuencias."", ""Almacenamiento en la nube.""]","['codificación', 'one', 'hot']"
Q027,NLP,Conjunto de datos y preprocesamiento (RNN/NLP),"Dentro del proceso de 'Limpieza y transformación de datos', ¿qué paso implica la eliminación de datos no deseados como signos de puntuación innecesarios o caracteres especiales?",Es uno de los primeros pasos para eliminar ruido antes de procesar.,"[""Limpieza de datos."", ""Síntesis: Limpieza de datos."", ""Limpieza de datos. (equivalente)""]","[""Codificación."", ""Tokenización."", ""Creación de secuencias.""]","['limpieza', 'datos']"
Q028,NLP,Conjunto de datos y preprocesamiento (RNN/NLP),¿Cuáles son las etapas principales para preparar un conjunto de datos antes de entrenar un modelo de generación de texto?,Orden lógico: recolectar → limpiar/tokenizar → codificar → secuencias → split.,"[""Recolección, preprocesamiento (limpieza, tokenización, codificación), creación de secuencias y división de datos."", ""Síntesis: Recolección, preprocesamiento (limpieza, tokenización, codificación), creación de secuencias y división de datos."", ""Recolección, preprocesamiento (limpieza, tokenización, codificación), creación de secuencias y división de datos. (equivalente)""]","[""Codificación, creación de secuencias, validación y almacenamiento en la nube."", ""Conclusión basada en intuición sin datos"", ""Usar azar para seleccionar la salida""]","['preprocesamiento', 'codificación', 'secuencias', 'tokenización', 'recolección', 'datos', 'limpieza', 'división', 'creación']"
Q029,NLP,Generación de texto con RNN,¿Cuál es la principal limitación de las arquitecturas RNN tradicionales que los mecanismos de atención y los modelos Transformers buscan resolver?,Procesan paso a paso; la información inicial se puede perder en secuencias largas.,"[""Síntesis: La dificultad para capturar dependencias a largo plazo en secuencias extensas."", ""La dificultad para capturar dependencias a largo plazo en secuencias extensas."", ""La dificultad para capturar dependencias a largo plazo en secuencias extensas. (equivalente)""]","[""El alto costo computacional para procesar secuencias cortas."", ""La complejidad en el preprocesamiento de los datos de texto."", ""La incapacidad de procesar datos que no sean de texto.""]","['secuencias', 'dificultad', 'dependencias', 'extensas', 'capturar', 'plazo', 'largo']"
Q030,NLP,Conjunto de datos y preprocesamiento (RNN/NLP),"En el desarrollo de una aplicación de NLP, ¿qué es la tokenización?",Primer paso para que una máquina 'lea' una oración.,"[""Dividir el texto en unidades más pequeñas, como token(s) o caracteres."", ""Síntesis: Dividir el texto en unidades más pequeñas, como palabras o caracteres."", ""Dividir el texto en unidades más pequeñas, como palabras o caracteres.""]","[""Eliminar palabras comunes y sin significado (stop words) del texto."", ""Convertir los tokens de texto en vectores numéricos."", ""Separar el conjunto de datos en subconjuntos de entrenamiento, validación y prueba.""]","['dividir', 'caracteres', 'texto', 'unidades', 'pequeñas', 'palabras', 'token']"
Q031,NLP,Codificador–Decodificador y Traducción automática,"En una arquitectura de red encoder-decoder para traducción automática, ¿cuál es la función principal del vector de contexto?",El codificador debe 'comunicar' el significado de la oración al decodificador.,"[""Síntesis: Actuar como una representación numérica que resume la información semántica de la"", ""Actuar como una representación numérica que resume la información semántica de la secuencia de entrada."", ""Actuar como una representación numérica que resume la información semántica de la secuencia de entrada. (equivalente)""]","[""Almacenar la secuencia de salida traducida palabra por palabra."", ""Contener los hiperparámetros del modelo, como la tasa de aprendizaje."", ""Guardar los pesos de la red neuronal del decodificador.""]","['representación', 'secuencia', 'semántica', 'información', 'actuar', 'numérica', 'entrada', 'resume']"
Q032,NLP,Generación de texto con RNN,¿Cuál es la diferencia fundamental en cómo un modelo Transformer y una RNN procesan una secuencia de datos?,Piensa en recurrencia frente a paralelización.,"[""El Transformer procesa todos los elementos de la secuencia simultáneamente, mientras que la RNN lo hace de forma secuencial."", ""Síntesis: El Transformer procesa todos los elementos de la secuencia simultáneamente, mientras que"", ""El Transformer procesa todos los elementos de la secuencia simultáneamente, mientras que la RNN lo hace de forma secuencial. (equivalente)""]","[""El Transformer requiere datos etiquetados mientras que la RNN no."", ""El Transformer utiliza capas convolucionales mientras que la RNN no."", ""La RNN puede manejar secuencias de longitud variable, pero el Transformer no.""]","['transformer', 'secuencial', 'secuencia', 'simultáneamente', 'procesa', 'rnn', 'forma', 'elementos', 'hace']"
Q033,NLP,Conjunto de datos y preprocesamiento (RNN/NLP),"En un modelo Transformer, ¿cuál es el propósito de las codificaciones posicionales (positional encodings)?",Se pierde el orden si procesas todas las palabras a la vez.,"[""Síntesis: Añadir información sobre el orden o la posición de los tokens en"", ""Añadir información sobre el orden o la posición de los tokens en la secuencia."", ""Añadir información sobre el orden o la posición de los tokens en la secuencia. (equivalente)""]","[""Indicar el sentimiento general de la secuencia."", ""Comprimir la secuencia de entrada en un vector de tamaño fijo."", ""Reducir la dimensionalidad de los vectores de palabras (embeddings).""]","['tokens', 'secuencia', 'orden', 'posición', 'información', 'añadir']"
Q034,NLP,Modelos Transformers (NLP),¿Cómo adapta la arquitectura Vision Transformer (ViT) el modelo Transformer para el procesamiento de imágenes?,Convierte la imagen en una secuencia de parches (tokens).,"[""Dividiendo la imagen en una cuadrícula de parches y tratándolos como una secuencia de tokens."", ""Síntesis: Dividiendo la imagen en una cuadrícula de parches y tratándolos como una"", ""Dividiendo la imagen en una cuadrícula de parches y tratándolos como una secuencia de tokens. (equivalente)""]","[""Convirtiendo la imagen a un texto descriptivo y luego procesando ese texto."", ""Procesando cada píxel de la imagen de forma recurrente."", ""Aplicando múltiples capas de convolución para extraer características antes de usar la atención.""]","['cuadrícula', 'tokens', 'dividiendo', 'imagen', 'parches', 'secuencia', 'tratándolos']"
Q035,NLP,Modelos Transformers (NLP),¿Cuáles son las ventajas más destacadas de la librería de Transformers de Hugging Face?,Popular por acceso rápido a modelos preentrenados.,"[""Síntesis: Ofrece un acceso simplificado a una vasta colección de modelos preentrenados."", ""Ofrece un acceso simplificado a una vasta colección de modelos preentrenados."", ""Ofrece un acceso simplificado a una vasta colección de modelos preentrenados. (equivalente)""]","[""Funciona exclusivamente con el framework de aprendizaje profundo PyTorch."", ""Está diseñada únicamente para tareas de visión por computadora."", ""Es la única librería que permite entrenar modelos Transformer desde cero.""]","['modelos', 'simplificado', 'preentrenados', 'colección', 'acceso', 'ofrece', 'vasta']"
Q036,NLP,Codificador–Decodificador y Traducción automática,"Según la comparativa de librerías, ¿qué herramienta está principalmente enfocada en la traducción automática?",El nombre de la librería da una pista clara de su propósito.,"[""Síntesis: OpenNMT"", ""OpenNMT"", ""OpenNMT (equivalente)""]","[""AllenNLP"", ""Fairseq"", ""spaCy Transformers""]",['opennmt']
Q037,NLP,Clasificación de opiniones / Análisis de sentimiento (RNN),"En el contexto del análisis de sentimientos, ¿qué buscan descubrir técnicas de modelado de temas como Latent Dirichlet Allocation (LDA)?",Piensa en aspectos más comentados sin leer todas las reseñas.,"[""Síntesis: Los temas o tópicos abstractos presentes en un conjunto de documentos."", ""Los temas o tópicos abstractos presentes en un conjunto de documentos."", ""Los temas o tópicos abstractos presentes en un conjunto de documentos. (equivalente)""]","[""La traducción de un comentario a otro idioma."", ""La polaridad (positiva, negativa o neutral) de un comentario."", ""La estructura gramatical de las oraciones en los comentarios.""]","['tópicos', 'abstractos', 'documentos', 'conjunto', 'temas', 'presentes']"
Q038,NLP,Generación de texto con RNN,"Además de las RNN, ¿qué otra arquitectura de red neuronal se menciona como efectiva para el análisis de sentimientos y la identificación de frases locales?","En visión, detecta patrones locales como bordes o texturas.","[""Redes Neuronales Convolucionales (CNN)"", ""Síntesis: Redes Neuronales Convolucionales (CNN)"", ""Redes Neuronales Convolucionales (CNN) (equivalente)""]","[""Autoencoders"", ""Latent Dirichlet Allocation (LDA)"", ""Redes Neuronales Siamesas""]","['neuronales', 'cnn', 'redes', 'convolucionales']"
Q039,NLP,Mecanismos de atención,Bahdanau y Luong son dos implementaciones conocidas de ¿qué componente clave en los modelos de secuencia a secuencia?,Permite 'enfocarse' en partes específicas de la entrada.,"[""Síntesis: Mecanismos de atención"", ""Mecanismos de atención"", ""Mecanismos de atención (equivalente)""]","[""Funciones de activación"", ""Algoritmos de optimización"", ""Células de memoria RNN""]","['mecanismos', 'atención']"
Q040,NLP,Generación de texto con RNN,¿Qué ventaja tienen las redes Transformer en comparación con las RNN respecto a la cantidad de datos necesarios para entrenar?,Considera el apetito por los datos que tienen los grandes modelos de lenguaje modernos.,"[""Menor necesidad de datos de entrenamiento en comparación con las RNN."", ""Síntesis: Menor necesidad de datos de entrenamiento en comparación con las RNN."", ""Menor necesidad de datos de entrenamiento en comparación con las RNN. (equivalente)""]","[""Paralelización eficiente durante el entrenamiento."", ""Capacidad para capturar dependencias a largo plazo."", ""Escalabilidad para entrenar modelos masivos como GPT-3.""]","['entrenamiento', 'datos', 'rnn', 'comparación', 'menor', 'necesidad']"
Q041,NLP,Conjunto de datos y preprocesamiento (RNN/NLP),"Al almacenar un conjunto de datos de entrenamiento demasiado grande para caber en la memoria, ¿qué herramienta de las librerías de aprendizaje profundo carga y preprocesa los datos en lotes durante el entrenamiento?","Busca la opción que describe una función o clase diseñada para alimentar datos a un modelo de manera eficiente, lote por lote.","[""Síntesis: Data Loaders o Generators."", ""Data Loaders o Generators."", ""Data Loaders o Generators. (equivalente)""]","[""Un archivo de formato HDF5."", ""Un servicio de almacenamiento en la nube como AWS S3."", ""Una base de datos SQL.""]","['generators', 'loaders', 'data']"
Q042,M12T1,Generación de texto con RNN,"En generación de texto con RNN, ¿qué efecto tiene aumentar la 'temperatura' al muestrear el siguiente token?",Relaciona temperatura con diversidad vs. determinismo en la muestra.,"[""Aumenta la aleatoriedad y diversidad de las salidas"", ""Hace que el modelo elija opciones menos probables con mayor frecuencia"", ""Reduce el sesgo hacia el token más probable, generando textos más creativos""]","[""Disminuye la entropía y hace el texto más repetitivo"", ""Obliga a predecir siempre el token con mayor probabilidad"", ""Desactiva el estado oculto de la RNN para evitar sobreajuste""]","['aleatoriedad', 'probables', 'opciones', 'modelo', 'diversidad', 'creativos', 'probable', 'salidas', 'reduce', 'menos']"
Q043,M12T1,Generación de texto con RNN,Caso práctico: Tu modelo LSTM genera frases incoherentes a mitad de secuencia. ¿Qué ajuste sería más apropiado probar primero?,"Piensa en longitud de secuencia, regularización y tamaño de capa.","[""Aumentar el tamaño del estado oculto o la profundidad para modelar dependencias más largas"", ""Ajustar la longitud de las secuencias de entrenamiento (window)"", ""Aplicar regularización moderada (dropout) para mejorar la estabilidad""]","[""Eliminar la codificación numérica y entrenar con texto crudo"", ""Sustituir LSTM por una red completamente conectada sin memoria"", ""Desactivar el teacher forcing en una tarea puramente no supervisada""]","['regularización', 'entrenamiento', 'modelar', 'estabilidad', 'dropout', 'profundidad', 'ajustar', 'secuencias', 'tamaño', 'aumentar']"
Q044,M12T1,Generación de texto con RNN,¿Qué ventaja aporta usar celdas LSTM/GRU frente a una RNN simple para generación de texto?,Recuerda el problema del gradiente en secuencias largas.,"[""Mejor manejo de dependencias a largo plazo gracias a compuertas de memoria"", ""Mitigan el desvanecimiento/explosión del gradiente en secuencias largas"", ""Capturan contexto distante con mayor estabilidad que RNN simples""]","[""Eliminan por completo la necesidad de entrenamiento"", ""Permiten entrenar sin datos de texto etiquetado ni corpus"", ""Sustituyen la necesidad de tokenización y preprocesamiento""]","['memoria', 'estabilidad', 'secuencias', 'distante', 'gradiente', 'largas', 'mejor', 'contexto', 'dependencias', 'plazo']"
